Year,Champions,Grand Slam,Triple Crown,Home_games
2000, England,–,–,IW
2001, England,–,–,FIS
2002, France, France, England,IW
2003, England, England, England,FIS
2004, France, France, Ireland,IW
2005, Wales, Wales, Wales,FIS
2006, France,–, Ireland,IW
2007, France,–, Ireland,FIS
2008, Wales, Wales, Wales,IW
2009, Ireland, Ireland, Ireland,FIS
2010, France, France,–,IW
2011, England,–,–,FIS
2012, Wales, Wales, Wales,IW
2013, Wales,–,–,FIS
2014, Ireland,–, England,IW
2015, Ireland,–,–,FIS
2016, England, England, England,IW
2017, England,–,–,FIS
2018, Ireland, Ireland, Ireland,IW
2019, Wales, Wales, Wales,FIS
2020, England,–, England,IW
