Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Ground,Match Date,,,,,,,,,,,,,,,
England,won,7,3,4,4,0,v Wales,Newport,3 Jan 1891,,,,,,,,,,,,,,,
England,won,17,0,17,7,0,v Wales,Blackheath,2 Jan 1892,,,,,,,,,,,,,,,
England,lost,11,12,-1,7,0,v Wales,Cardiff,7 Jan 1893,,,,,,,,,,,,,,,
England,won,24,3,21,9,0,v Wales,Birkenhead,6 Jan 1894,,,,,,,,,,,,,,,
England,won,14,6,8,3,3,v Wales,Swansea,5 Jan 1895,,,,,,,,,,,,,,,
England,won,25,0,25,17,0,v Wales,Blackheath,4 Jan 1896,,,,,,,,,,,,,,,
England,lost,0,11,-11,0,6,v Wales,Newport,9 Jan 1897,,,,,,,,,,,,,,,
England,won,14,7,7,6,3,v Wales,Blackheath,2 Apr 1898,,,,,,,,,,,,,,,
England,lost,3,26,-23,0,6,v Wales,Swansea,7 Jan 1899,,,,,,,,,,,,,,,
England,lost,3,13,-10,0,5,v Wales,Gloucester,06-Jan-00,,,,,,,,,,,,,,,
England,lost,0,13,-13,0,5,v Wales,Cardiff,05-Jan-01,,,,,,,,,,,,,,,
England,lost,8,9,-1,8,3,v Wales,Blackheath,11-Jan-02,,,,,,,,,,,,,,,
England,lost,5,21,-16,0,21,v Wales,Swansea,10-Jan-03,,,,,,,,,,,,,,,
England,draw,14,14,0,6,0,v Wales,Leicester,09-Jan-04,,,,,,,,,,,,,,,
England,lost,0,25,-25,0,11,v Wales,Cardiff,14-Jan-05,,,,,,,,,,,,,,,
England,lost,3,16,-13,3,13,v Wales,Richmond,13-Jan-06,,,,,,,,,,,,,,,
England,lost,0,22,-22,0,13,v Wales,Swansea,12-Jan-07,,,,,,,,,,,,,,,
England,lost,18,28,-10,8,15,v Wales,Bristol,18-Jan-08,,,,,,,,,,,,,,,
England,lost,0,8,-8,0,8,v Wales,Cardiff,16-Jan-09,,,,,,,,,,,,,,,
England,won,11,6,5,11,3,v Wales,Twickenham,15-Jan-10,,,,,,,,,,,,,,,
England,lost,11,15,-4,3,6,v Wales,Swansea,21-Jan-11,,,,,,,,,,,,,,,
England,won,8,0,8,-,-,v Wales,Twickenham,20-Jan-12,,,,,,,,,,,,,,,
England,won,12,0,12,-,-,v Wales,Cardiff,18-Jan-13,,,,,,,,,,,,,,,
England,won,10,9,1,5,4,v Wales,Twickenham,17-Jan-14,,,,,,,,,,,,,,,
England,lost,5,19,-14,5,3,v Wales,Swansea,17-Jan-20,,,,,,,,,,,,,,,
England,won,18,3,15,12,0,v Wales,Twickenham,15-Jan-21,,,,,,,,,,,,,,,
England,lost,6,28,-22,3,17,v Wales,Cardiff,21-Jan-22,,,,,,,,,,,,,,,
England,won,7,3,4,3,0,v Wales,Twickenham,20-Jan-23,,,,,,,,,,,,,,,
England,won,17,9,8,11,3,v Wales,Swansea,19-Jan-24,,,,,,,,,,,,,,,
England,won,12,6,6,6,3,v Wales,Twickenham,17-Jan-25,,,,,,,,,,,,,,,
England,draw,3,3,0,3,0,v Wales,Cardiff,16-Jan-26,,,,,,,,,,,,,,,
England,won,11,9,2,11,6,v Wales,Twickenham,15-Jan-27,,,,,,,,,,,,,,,
England,won,10,8,2,10,3,v Wales,Swansea,21-Jan-28,,,,,,,,,,,,,,,
