Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Ground,Match Date
England,lost,0G,1G,-1G,-,-,v Scotland,Edinburgh,27 Mar 1871
England,won,2G,1G,#ERROR!,-,-,v Scotland,The Oval,5 Feb 1872
England,draw,0G,0G,0G,-,-,v Scotland,Glasgow,3 Mar 1873
England,won,1G,0G,#ERROR!,-,-,v Scotland,The Oval,23 Feb 1874
England,won,2G,0G,#ERROR!,-,-,v Ireland,The Oval,15 Feb 1875
England,draw,0G,0G,0G,-,-,v Scotland,Edinburgh,8 Mar 1875
England,won,1G,0G,#ERROR!,-,-,v Ireland,Dublin,13 Dec 1875
England,won,1G,0G,#ERROR!,-,-,v Scotland,The Oval,6 Mar 1876
England,won,2G,0G,#ERROR!,-,-,v Ireland,The Oval,5 Feb 1877
England,lost,0G,1G,-1G,-,-,v Scotland,Edinburgh,5 Mar 1877
England,draw,0G,0G,0G,-,-,v Scotland,The Oval,4 Mar 1878
England,won,2G,0G,#ERROR!,-,-,v Ireland,Lansdowne Road,11 Mar 1878
England,draw,1G,1G,0G,-,-,v Scotland,Edinburgh,10 Mar 1879
England,won,3G,0G,#ERROR!,-,-,v Ireland,The Oval,24 Mar 1879
England,won,1G,0G,#ERROR!,-,-,v Ireland,Lansdowne Road,2 Feb 1880
England,won,2G,1G,#ERROR!,-,-,v Scotland,Manchester,28 Feb 1880
England,won,2G,0G,#ERROR!,-,-,v Ireland,Manchester,5 Feb 1881
England,won,8G,0G,#ERROR!,-,-,v Wales,Blackheath,19 Feb 1881
England,draw,1G,1G,0G,-,-,v Scotland,Edinburgh,19 Mar 1881
England,draw,0G,0G,0G,-,-,v Ireland,Lansdowne Road,6 Feb 1882
England,lost,0G,0G,0G,-,-,v Scotland,Manchester,4 Mar 1882
England,won,2G,0G,#ERROR!,-,-,v Wales,Swansea,16 Dec 1882
England,won,1G,0G,#ERROR!,-,-,v Ireland,Manchester,5 Feb 1883
England,won,0G,0G,0G,-,-,v Scotland,Edinburgh,3 Mar 1883
England,won,1G,1G,0G,-,-,v Wales,Leeds,5 Jan 1884
England,won,1G,0G,#ERROR!,-,-,v Ireland,Lansdowne Road,4 Feb 1884
England,won,1G,0G,#ERROR!,-,-,v Scotland,Blackheath,1 Mar 1884
England,won,1G,1G,0G,-,-,v Wales,Swansea,3 Jan 1885
England,won,0G,0G,0G,-,-,v Ireland,Manchester,7 Feb 1885
England,won,1G,1G,0G,-,-,v Wales,Blackheath,2 Jan 1886
England,won,0G,0G,0G,-,-,v Ireland,Lansdowne Road,6 Feb 1886
England,draw,0G,0G,0G,-,-,v Scotland,Edinburgh,13 Mar 1886
England,draw,0G,0G,0G,-,-,v Wales,Llanelli,8 Jan 1887
England,lost,0G,2G,-2G,-,-,v Ireland,Lansdowne Road,5 Feb 1887
England,draw,0G,0G,0G,-,-,v Scotland,Manchester,5 Mar 1887
England,won,7,0,7,2,0,v NZ Natives,Blackheath,16 Feb 1889
England,lost,0,1,-1,-,-,v Wales,Dewsbury,15 Feb 1890
England,won,6,0,6,2,0,v Scotland,Edinburgh,1 Mar 1890
England,won,3,0,3,2,0,v Ireland,Blackheath,15 Mar 1890
England,won,7,3,4,4,0,v Wales,Newport,3 Jan 1891
England,won,9,0,9,2,0,v Ireland,Lansdowne Road,7 Feb 1891
England,lost,3,9,-6,0,3,v Scotland,Richmond,7 Mar 1891
England,won,17,0,17,7,0,v Wales,Blackheath,2 Jan 1892
England,won,7,0,7,-,-,v Ireland,Manchester,6 Feb 1892
England,won,5,0,5,5,0,v Scotland,Edinburgh,5 Mar 1892
England,lost,11,12,-1,7,0,v Wales,Cardiff,7 Jan 1893
England,won,4,0,4,2,0,v Ireland,Lansdowne Road,4 Feb 1893
England,lost,0,8,-8,0,4,v Scotland,Leeds,4 Mar 1893
England,won,24,3,21,9,0,v Wales,Birkenhead,6 Jan 1894
England,lost,5,7,-2,0,3,v Ireland,Blackheath,3 Feb 1894
England,lost,0,6,-6,-,-,v Scotland,Edinburgh,17 Mar 1894
England,won,14,6,8,3,3,v Wales,Swansea,5 Jan 1895
England,won,6,3,3,-,-,v Ireland,Lansdowne Road,2 Feb 1895
England,lost,3,6,-3,3,6,v Scotland,Richmond,9 Mar 1895
England,won,25,0,25,17,0,v Wales,Blackheath,4 Jan 1896
England,lost,4,10,-6,0,5,v Ireland,Leeds,1 Feb 1896
England,lost,0,11,-11,0,3,v Scotland,Glasgow,14 Mar 1896
England,lost,0,11,-11,0,6,v Wales,Newport,9 Jan 1897
England,lost,9,13,-4,3,10,v Ireland,Lansdowne Road,6 Feb 1897
England,won,12,3,9,-,-,v Scotland,Manchester,13 Mar 1897
England,lost,6,9,-3,0,6,v Ireland,Richmond,5 Feb 1898
England,draw,3,3,0,-,-,v Scotland,Edinburgh,12 Mar 1898
England,won,14,7,7,6,3,v Wales,Blackheath,2 Apr 1898
England,lost,3,26,-23,0,6,v Wales,Swansea,7 Jan 1899
England,lost,0,6,-6,-,-,v Ireland,Lansdowne Road,4 Feb 1899
England,lost,0,5,-5,-,-,v Scotland,Blackheath,11 Mar 1899
England,lost,3,13,-10,0,5,v Wales,Gloucester,06-Jan-00
England,won,15,4,11,7,4,v Ireland,Richmond,03-Feb-00
England,draw,0,0,0,-,-,v Scotland,Inverleith,10-Mar-00
England,lost,0,13,-13,0,5,v Wales,Cardiff,05-Jan-01
England,lost,6,10,-4,3,5,v Ireland,Lansdowne Road,09-Feb-01
England,lost,3,18,-15,0,15,v Scotland,Blackheath,09-Mar-01
England,lost,8,9,-1,8,3,v Wales,Blackheath,11-Jan-02
England,won,6,3,3,3,0,v Ireland,Leicester,08-Feb-02
