Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Ground,Match DateAscending
England,won,6,0,6,2,0,v Scotland,Edinburgh,1 Mar 1890
England,lost,3,9,-6,0,3,v Scotland,Richmond,7 Mar 1891
England,won,5,0,5,5,0,v Scotland,Edinburgh,5 Mar 1892
England,lost,0,8,-8,0,4,v Scotland,Leeds,4 Mar 1893
England,lost,0,6,-6,-,-,v Scotland,Edinburgh,17 Mar 1894
England,lost,3,6,-3,3,6,v Scotland,Richmond,9 Mar 1895
England,lost,0,11,-11,0,3,v Scotland,Glasgow,14 Mar 1896
England,won,12,3,9,-,-,v Scotland,Manchester,13 Mar 1897
England,draw,3,3,0,-,-,v Scotland,Edinburgh,12 Mar 1898
England,lost,0,5,-5,-,-,v Scotland,Blackheath,11 Mar 1899
England,draw,0,0,0,-,-,v Scotland,Inverleith,10-Mar-00
England,lost,3,18,-15,0,15,v Scotland,Blackheath,09-Mar-01
England,won,6,3,3,6,0,v Scotland,Inverleith,15-Mar-02
England,lost,6,10,-4,3,7,v Scotland,Richmond,21-Mar-03
England,lost,3,6,-3,0,3,v Scotland,Inverleith,19-Mar-04
England,lost,0,8,-8,-,-,v Scotland,Richmond,18-Mar-05
England,won,9,3,6,3,3,v Scotland,Inverleith,17-Mar-06
England,lost,3,8,-5,-,-,v Scotland,Blackheath,16-Mar-07
England,lost,10,16,-6,10,7,v Scotland,Inverleith,21-Mar-08
England,lost,8,18,-10,8,3,v Scotland,Richmond,20-Mar-09
England,won,14,5,9,5,5,v Scotland,Inverleith,19-Mar-10
England,won,13,8,5,8,3,v Scotland,Twickenham,18-Mar-11
England,lost,3,8,-5,-,-,v Scotland,Inverleith,16-Mar-12
England,won,3,0,3,3,0,v Scotland,Twickenham,15-Mar-13
England,won,16,15,1,3,3,v Scotland,Inverleith,21-Mar-14
England,won,13,4,9,10,4,v Scotland,Twickenham,20-Mar-20
England,won,18,0,18,8,0,v Scotland,Inverleith,19-Mar-21
England,won,11,5,6,0,5,v Scotland,Twickenham,18-Mar-22
England,won,8,6,2,3,3,v Scotland,Inverleith,17-Mar-23
England,won,19,0,19,5,0,v Scotland,Twickenham,15-Mar-24
England,lost,11,14,-3,8,5,v Scotland,Murrayfield,21-Mar-25
England,lost,9,17,-8,3,14,v Scotland,Twickenham,20-Mar-26
England,lost,13,21,-8,8,9,v Scotland,Murrayfield,19-Mar-27
England,won,6,0,6,3,0,v Scotland,Twickenham,17-Mar-28
